Launch Date,Recalls Number,Make,Recalls Model Information,Concern,Defect,Remedy,Vehicle Numbers,Manufacturer Ref,Model,VIN Start,VIN End,Build Start,Build End,groupe,Date,Groupe,Valeur action
2010-05-19,R/2010/032,vauxhall,Zafira B,STEERING MAY FAIL,The steering column intermediate shaft may have a loose press fit on the upper joint yoke. If left  increased free play and a knocking noise will develop which  if ignored could lead to loss of steering.,Recall the vehicles that are likely to be affected to fit a new intermediate steering shaft.,8854,10c017,ZAFIRA,AG024499,AG066538,16/11/2009,24/03/2010,Peugeot S.A.,2010-05-19,Peugeot S.A.,0.002647461985834886
2010-05-19,R/2010/032,vauxhall,Zafira B,STEERING MAY FAIL,The steering column intermediate shaft may have a loose press fit on the upper joint yoke. If left  increased free play and a knocking noise will develop which  if ignored could lead to loss of steering.,Recall the vehicles that are likely to be affected to fit a new intermediate steering shaft.,8854,10c017,ZAFIRA,A2038186,A2080227,16/11/2009,24/03/2010,Peugeot S.A.,2010-05-19,Peugeot S.A.,0.002647461985834886
2010-05-26,R/2010/055,toyota,Lexus - LS 460 / LS 600h,STEERING CONTROL ECU,The steering control ECU programming for the Variable Gear Ratio Steering system can cause the steering wheel to become off-centred by a maximum of up to 90 degrees  under certain limited circumstances. If the driver has fully turned the steering wheel and then very quickly attempts to turn it back to the centre position  the steering wheel may temporarily become off-centred.,Recall the vehicles that are likely to be affected to replace the steering control ECU.,48,,LEXUS LS600h,,,,,Toyota Motor Corporation,2010-05-26,Toyota Motor Corporation,0.02151489796971951
2010-05-26,R/2010/058,volvo car,S80  V70  XC60 & XC70,ENGINE MAY LOOSE DRIVE AND POWER STEERING ASSISTANCE.,The auxiliary drive belt tensioner may fail. This can lead to loss of steering power assistance and a slight possibility of loss of drive  should the drive belt or tensioner invade the cambelt area.,Recall the vehicles that are likely to be affected to replace the auxiliary drive belt and tensioner.,4673,R29108,V70,,,,,Volvo Group,2010-05-26,Volvo Group,0.02349479084182555
2010-05-26,R/2010/058,volvo car,S80  V70  XC60 & XC70,ENGINE MAY LOOSE DRIVE AND POWER STEERING ASSISTANCE.,The auxiliary drive belt tensioner may fail. This can lead to loss of steering power assistance and a slight possibility of loss of drive  should the drive belt or tensioner invade the cambelt area.,Recall the vehicles that are likely to be affected to replace the auxiliary drive belt and tensioner.,4673,R29108,XC70,,,,,Volvo Group,2010-05-26,Volvo Group,0.02349479084182555
2010-05-26,R/2010/058,volvo car,S80  V70  XC60 & XC70,ENGINE MAY LOOSE DRIVE AND POWER STEERING ASSISTANCE.,The auxiliary drive belt tensioner may fail. This can lead to loss of steering power assistance and a slight possibility of loss of drive  should the drive belt or tensioner invade the cambelt area.,Recall the vehicles that are likely to be affected to replace the auxiliary drive belt and tensioner.,4673,R29108,XC60,,,,,Volvo Group,2010-05-26,Volvo Group,0.02349479084182555
2010-05-26,R/2010/058,volvo car,S80  V70  XC60 & XC70,ENGINE MAY LOOSE DRIVE AND POWER STEERING ASSISTANCE.,The auxiliary drive belt tensioner may fail. This can lead to loss of steering power assistance and a slight possibility of loss of drive  should the drive belt or tensioner invade the cambelt area.,Recall the vehicles that are likely to be affected to replace the auxiliary drive belt and tensioner.,4673,R29108,S80,,,,,Volvo Group,2010-05-26,Volvo Group,0.02349479084182555
2010-05-26,R/2010/055,toyota,Lexus - LS 460 / LS 600h,STEERING CONTROL ECU,The steering control ECU programming for the Variable Gear Ratio Steering system can cause the steering wheel to become off-centred by a maximum of up to 90 degrees  under certain limited circumstances. If the driver has fully turned the steering wheel and then very quickly attempts to turn it back to the centre position  the steering wheel may temporarily become off-centred.,Recall the vehicles that are likely to be affected to replace the steering control ECU.,48,,LEXUS LS460,,,,,Toyota Motor Corporation,2010-05-26,Toyota Motor Corporation,0.02151489796971951
2010-06-01,R/2009/158,citroen,C8,VEHICLE EXTERIOR LIGHTS MAY FAIL WITHOUT WARNING,The lighting management system may incorrectly detect the position of the exterior lighting control switch.  This may cause the exterior light to switch off without warning.,Recall all affected vehicles and install a new version of the exterior lighting management software to the vehicle.,592,MBU,C8,VF7******13353043,VF7******13376919,01/07/2007,27/03/2008,Peugeot S.A.,2010-06-01,Peugeot S.A.,0.0033530264589705285
2010-06-01,R/2009/115,hyundai,SONATA (NF),BRAKE LIGHTS MAY BECOME INOPERATIVE,It has been identified that on certain Sonata models  the stop lamp switch may fail. Should this occur the brake lights may fail to function or could flash continuously. It is also possible that the electronic stability programme may fail to function or not operate correctly. Additionally  in the case of vehicles fitted with automatic transmission and a transmission lock it may not be possible to move the gear selection lever from park to drive.,Recalled vehicles will have the stop lamp switch replaced.,48,,SONATA,,,20/09/2006,25/10/2006,Hyundai Motor Company,2010-06-01,Hyundai Motor Company,0.046432339152796
2010-06-02,R/2010/010,toyota,Aygo (MMT or VSC only)  iQ Yaris  Auris  Verso & Avensis ,ACCELERATOR PEDAL MAY FAIL TO RETURN TO IDLE,It has been identified that on affected vehicles  condensation resulting from cold-weather use of the heater or other causes may form on the worn surface of a component within the throttle pedal assembly known as the friction device. If this occurs  there is a possibility that  in the worst case  the accelerator pedal may return slowly  or does not return to the engine idle position. ,Recalled vehicles will have a precision-cut steel reinforcing bar fitted into the accelerator pedal assembly  which will create a space in order to reduce the surface tension between the friction device  and  a component referred to as the pedal arm. The subject bar also strengthens the reaction force of the spring that returns the accelerator pedal to it's non-pressed position.,174426,,AURIS,,,01/10/2006,05/01/2010,Toyota Motor Corporation,2010-06-02,Toyota Motor Corporation,0.02658097354455686
2010-06-02,R/2010/010,toyota,Aygo (MMT or VSC only)  iQ Yaris  Auris  Verso & Avensis ,ACCELERATOR PEDAL MAY FAIL TO RETURN TO IDLE,It has been identified that on affected vehicles  condensation resulting from cold-weather use of the heater or other causes may form on the worn surface of a component within the throttle pedal assembly known as the friction device. If this occurs  there is a possibility that  in the worst case  the accelerator pedal may return slowly  or does not return to the engine idle position. ,Recalled vehicles will have a precision-cut steel reinforcing bar fitted into the accelerator pedal assembly  which will create a space in order to reduce the surface tension between the friction device  and  a component referred to as the pedal arm. The subject bar also strengthens the reaction force of the spring that returns the accelerator pedal to it's non-pressed position.,174426,,VERSO ,,,01/02/2009,05/01/2010,Toyota Motor Corporation,2010-06-02,Toyota Motor Corporation,0.02658097354455686
2010-06-02,R/2010/010,toyota,Aygo (MMT or VSC only)  iQ Yaris  Auris  Verso & Avensis ,ACCELERATOR PEDAL MAY FAIL TO RETURN TO IDLE,It has been identified that on affected vehicles  condensation resulting from cold-weather use of the heater or other causes may form on the worn surface of a component within the throttle pedal assembly known as the friction device. If this occurs  there is a possibility that  in the worst case  the accelerator pedal may return slowly  or does not return to the engine idle position. ,Recalled vehicles will have a precision-cut steel reinforcing bar fitted into the accelerator pedal assembly  which will create a space in order to reduce the surface tension between the friction device  and  a component referred to as the pedal arm. The subject bar also strengthens the reaction force of the spring that returns the accelerator pedal to it's non-pressed position.,174426,,AYGO,,,01/02/2005,31/08/2009,Toyota Motor Corporation,2010-06-02,Toyota Motor Corporation,0.02658097354455686
2010-06-02,R/2010/010,toyota,Aygo (MMT or VSC only)  iQ Yaris  Auris  Verso & Avensis ,ACCELERATOR PEDAL MAY FAIL TO RETURN TO IDLE,It has been identified that on affected vehicles  condensation resulting from cold-weather use of the heater or other causes may form on the worn surface of a component within the throttle pedal assembly known as the friction device. If this occurs  there is a possibility that  in the worst case  the accelerator pedal may return slowly  or does not return to the engine idle position. ,Recalled vehicles will have a precision-cut steel reinforcing bar fitted into the accelerator pedal assembly  which will create a space in order to reduce the surface tension between the friction device  and  a component referred to as the pedal arm. The subject bar also strengthens the reaction force of the spring that returns the accelerator pedal to it's non-pressed position.,174426,,COROLLA,,,01/10/2006,31/12/2009,Toyota Motor Corporation,2010-06-02,Toyota Motor Corporation,0.02658097354455686
2010-06-02,R/2010/010,toyota,Aygo (MMT or VSC only)  iQ Yaris  Auris  Verso & Avensis ,ACCELERATOR PEDAL MAY FAIL TO RETURN TO IDLE,It has been identified that on affected vehicles  condensation resulting from cold-weather use of the heater or other causes may form on the worn surface of a component within the throttle pedal assembly known as the friction device. If this occurs  there is a possibility that  in the worst case  the accelerator pedal may return slowly  or does not return to the engine idle position. ,Recalled vehicles will have a precision-cut steel reinforcing bar fitted into the accelerator pedal assembly  which will create a space in order to reduce the surface tension between the friction device  and  a component referred to as the pedal arm. The subject bar also strengthens the reaction force of the spring that returns the accelerator pedal to it's non-pressed position.,174426,,iQ,,,01/11/2008,30/11/2009,Toyota Motor Corporation,2010-06-02,Toyota Motor Corporation,0.02658097354455686
2010-06-02,R/2010/010,toyota,Aygo (MMT or VSC only)  iQ Yaris  Auris  Verso & Avensis ,ACCELERATOR PEDAL MAY FAIL TO RETURN TO IDLE,It has been identified that on affected vehicles  condensation resulting from cold-weather use of the heater or other causes may form on the worn surface of a component within the throttle pedal assembly known as the friction device. If this occurs  there is a possibility that  in the worst case  the accelerator pedal may return slowly  or does not return to the engine idle position. ,Recalled vehicles will have a precision-cut steel reinforcing bar fitted into the accelerator pedal assembly  which will create a space in order to reduce the surface tension between the friction device  and  a component referred to as the pedal arm. The subject bar also strengthens the reaction force of the spring that returns the accelerator pedal to it's non-pressed position.,174426,,AVENSIS,,,01/11/2008,31/12/2009,Toyota Motor Corporation,2010-06-02,Toyota Motor Corporation,0.02658097354455686
2010-06-02,R/2010/010,toyota,Aygo (MMT or VSC only)  iQ Yaris  Auris  Verso & Avensis ,ACCELERATOR PEDAL MAY FAIL TO RETURN TO IDLE,It has been identified that on affected vehicles  condensation resulting from cold-weather use of the heater or other causes may form on the worn surface of a component within the throttle pedal assembly known as the friction device. If this occurs  there is a possibility that  in the worst case  the accelerator pedal may return slowly  or does not return to the engine idle position. ,Recalled vehicles will have a precision-cut steel reinforcing bar fitted into the accelerator pedal assembly  which will create a space in order to reduce the surface tension between the friction device  and  a component referred to as the pedal arm. The subject bar also strengthens the reaction force of the spring that returns the accelerator pedal to it's non-pressed position.,174426,,YARIS,,,01/11/2005,30/09/2009,Toyota Motor Corporation,2010-06-02,Toyota Motor Corporation,0.02658097354455686
2010-06-02,R/2010/010,toyota,Aygo (MMT or VSC only)  iQ Yaris  Auris  Verso & Avensis ,ACCELERATOR PEDAL MAY FAIL TO RETURN TO IDLE,It has been identified that on affected vehicles  condensation resulting from cold-weather use of the heater or other causes may form on the worn surface of a component within the throttle pedal assembly known as the friction device. If this occurs  there is a possibility that  in the worst case  the accelerator pedal may return slowly  or does not return to the engine idle position. ,Recalled vehicles will have a precision-cut steel reinforcing bar fitted into the accelerator pedal assembly  which will create a space in order to reduce the surface tension between the friction device  and  a component referred to as the pedal arm. The subject bar also strengthens the reaction force of the spring that returns the accelerator pedal to it's non-pressed position.,174426,,RAV4,,,,,Toyota Motor Corporation,2010-06-02,Toyota Motor Corporation,0.02658097354455686
2010-06-04,R/2010/035,suzuki,Alto - Automatic,BRAKE LIGHTS MAY FAIL,An assembly fault in the wiring harness may induce a high current in the brake light shift lock solenoid which may burn/melt the contacts.,Recall affected vehicles and replace the Brake Light Switch and fit modified wiring harness.,898,,ALTO,MA3GFC31S00106287,MA3GFC31S00274254,,,Suzuki Motor Corporation,2010-06-04,Suzuki Motor Corporation,0.012387950682865386
2010-06-07,R/2010/068,mercedes benz,Axor,POSSIBLE ENGINE FIRE,The positive battery wire to the starter might chafe against a bracket on the engine block. If not corrected it is possible that the insulation of the wire could chafed through  the consequences being a short circuit and vehicle damage through fire.,Recall the vehicles that are likely to be affected to check the routing of the battery wire and correct the routing where necessary.,30,C217,AXOR,,,,,Daimler AG,2010-06-07,Daimler AG,0.0012069887073533027
2010-06-09,R/2010/087,honda,Civic Coupe and Stream,IF DEPLOYED THE AIRBAGS MAY ENDANGER PASSENGER,The combustion rate of the airbag propellant may be too fast causing excessive internal pressure in the inflator during airbag deployment. In an extreme case  the inflator casing may rupture leading to a scattering of metal fragments.,Recall the vehicles that are likely to be affected to replace the front passenger airbag assembly.,132,2010/04,CIVIC,,,30/11/2000,15/10/2001,Honda Motor Company,2010-06-09,Honda Motor Company,0.021253450219761823
2010-06-09,R/2010/087,honda,Civic Coupe and Stream,IF DEPLOYED THE AIRBAGS MAY ENDANGER PASSENGER,The combustion rate of the airbag propellant may be too fast causing excessive internal pressure in the inflator during airbag deployment. In an extreme case  the inflator casing may rupture leading to a scattering of metal fragments.,Recall the vehicles that are likely to be affected to replace the front passenger airbag assembly.,132,2010/04,STREAM,,,30/11/2000,15/10/2001,Honda Motor Company,2010-06-09,Honda Motor Company,0.021253450219761823
2010-06-10,R/2010/157,peugeot,307  308  807  Expert III,LIGHTS MAY FAIL WITHOUT WARNING.,It has been identified that the position of the exterior lighting control ring may not be detected by the lighting management system and the lights may switch off without warning.,Recalled vehicles will have the lighting management software updated.,2903,YWB,308,VF3******13352715,VF3******85150233,06/07/2007,07/03/2008,Peugeot S.A.,2010-06-10,Peugeot S.A.,0.00882462889678302
2010-06-10,R/2010/157,peugeot,307  308  807  Expert III,LIGHTS MAY FAIL WITHOUT WARNING.,It has been identified that the position of the exterior lighting control ring may not be detected by the lighting management system and the lights may switch off without warning.,Recalled vehicles will have the lighting management software updated.,2903,YWB,807,VF3******13352715,VF3******85150233,06/07/2007,07/03/2008,Peugeot S.A.,2010-06-10,Peugeot S.A.,0.00882462889678302
2010-06-10,R/2010/157,peugeot,307  308  807  Expert III,LIGHTS MAY FAIL WITHOUT WARNING.,It has been identified that the position of the exterior lighting control ring may not be detected by the lighting management system and the lights may switch off without warning.,Recalled vehicles will have the lighting management software updated.,2903,YWB,EXPERT,VF3******13352715,VF3******85150233,06/07/2007,07/03/2008,Peugeot S.A.,2010-06-10,Peugeot S.A.,0.00882462889678302
2010-06-10,R/2010/157,peugeot,307  308  807  Expert III,LIGHTS MAY FAIL WITHOUT WARNING.,It has been identified that the position of the exterior lighting control ring may not be detected by the lighting management system and the lights may switch off without warning.,Recalled vehicles will have the lighting management software updated.,2903,YWB,307,VF3******13352715,VF3******85150233,06/07/2007,07/03/2008,Peugeot S.A.,2010-06-10,Peugeot S.A.,0.00882462889678302
2010-06-14,R/2010/063,kia,CEE'D,BRAKES MAY NOT PERFORM CORRECTLY,The brake master cylinder  on some models fitted with ESP  may not be to specification and the result could be longer than expected stopping distances.,Recall the vehicles that are likely to be affected to check the brake master cylinder and where necessary replace the master cylinder.,468,,CEE`D,,,01/04/2008,30/03/2009,Hyundai Motor Company,2010-06-14,Hyundai Motor Company,0.02289071644660068
2010-06-14,R/2010/062,kia,Picanto,FUEL MAY LEAK,The fuel tank filler neck may crack and allow fuel to leak.,Recall the vehicles that are likely to be affected to replace the fuel tank filler neck.,6585,,PICANTO,,,13/10/2009,08/02/2010,Hyundai Motor Company,2010-06-14,Hyundai Motor Company,0.02289071644660068
2010-06-15,R/2010/064,peugeot,RCZ,LOSS OF BRAKING EFFICIENCY.,Over a period of time it is possible for the front brake hoses to deteriorate through contact with other components. If left for some time it is possible that the brake hoses will leak fluid and there to be a loss of braking efficiency.,Recall the vehicles that are likely to be affected to replace both the front brake flexi hoses.,217,YVS,RCZ,VF3******9P000391,VF3******AP003478,09/12/2009,31/03/2010,Peugeot S.A.,2010-06-15,Peugeot S.A.,0.012990827977859198
2010-06-21,R/2010/057,mercedes benz,AXOR,FUEL MAY ESCAPE,The engine fuel injector pipes may leak fuel as they do not conform to specification.,Recall the vehicles that are likely to be affected to replace the fuel injector pipes with ones that do conform to specification.,197,C215,AXOR,,,01/01/2009,31/12/2009,Daimler AG,2010-06-21,Daimler AG,0.018691661407188948
2010-06-22,R/2010/053,honda,Jazz  and   Civic ,BRAKE PEDAL TRAVEL,The footbrake pedal is connected to the master cylinder via the brake pedal pin.  It is possible that the retaining clip/locking pin that locks the footbrake pedal pin may not have been installed. If this is the case  it is possible that the brake pedal pin may become detached. This will result in an increase in pedal travel and a corresponding increase in stopping distance.,Recall all affected vehicle and check for presence of retaining clip/locking pin. If found to be missing  a new clip/pin will be installed.,5376,,CIVIC,SHHFK2**0AU012679,SHHFK2**0AU015745,02/02/2010,06/04/2010,Honda Motor Company,2010-06-22,Honda Motor Company,0.0017612381496234803
2010-06-22,R/2010/053,honda,Jazz  and   Civic ,BRAKE PEDAL TRAVEL,The footbrake pedal is connected to the master cylinder via the brake pedal pin.  It is possible that the retaining clip/locking pin that locks the footbrake pedal pin may not have been installed. If this is the case  it is possible that the brake pedal pin may become detached. This will result in an increase in pedal travel and a corresponding increase in stopping distance.,Recall all affected vehicle and check for presence of retaining clip/locking pin. If found to be missing  a new clip/pin will be installed.,5376,,JAZZ,SHHGG5**0AU001211,SHHGG5**0AU002017,02/02/2010,06/04/2010,Honda Motor Company,2010-06-22,Honda Motor Company,0.0017612381496234803
2010-06-22,R/2010/053,honda,Jazz  and   Civic ,BRAKE PEDAL TRAVEL,The footbrake pedal is connected to the master cylinder via the brake pedal pin.  It is possible that the retaining clip/locking pin that locks the footbrake pedal pin may not have been installed. If this is the case  it is possible that the brake pedal pin may become detached. This will result in an increase in pedal travel and a corresponding increase in stopping distance.,Recall all affected vehicle and check for presence of retaining clip/locking pin. If found to be missing  a new clip/pin will be installed.,5376,,CIVIC,SHHFN4**0AU002321,SHHFN4**0AU003214,02/02/2010,06/04/2010,Honda Motor Company,2010-06-22,Honda Motor Company,0.0017612381496234803
2010-06-22,R/2010/023,renault,Kangoo II,BRAKING EFFICIENCY MAY BE AFFECTED,It has been identified that the possibility exists  that the front brakes hoses may become disconnected  resulting in a loss of brake hydraulic fluid and a reduction in braking efficiency.,Recalled vehicles will have both front brake hoses replaced.,149,OB76,KANGOO,,,01/04/2009,24/04/2009,Renault SA,2010-06-22,Renault SA,0.002993773156093737
2010-06-22,R/2010/053,honda,Jazz  and   Civic ,BRAKE PEDAL TRAVEL,The footbrake pedal is connected to the master cylinder via the brake pedal pin.  It is possible that the retaining clip/locking pin that locks the footbrake pedal pin may not have been installed. If this is the case  it is possible that the brake pedal pin may become detached. This will result in an increase in pedal travel and a corresponding increase in stopping distance.,Recall all affected vehicle and check for presence of retaining clip/locking pin. If found to be missing  a new clip/pin will be installed.,5376,,CIVIC,SHHFN1**0AU000821,SHHFN1**0AU001119,02/02/2010,06/04/2010,Honda Motor Company,2010-06-22,Honda Motor Company,0.0017612381496234803
2010-06-22,R/2010/053,honda,Jazz  and   Civic ,BRAKE PEDAL TRAVEL,The footbrake pedal is connected to the master cylinder via the brake pedal pin.  It is possible that the retaining clip/locking pin that locks the footbrake pedal pin may not have been installed. If this is the case  it is possible that the brake pedal pin may become detached. This will result in an increase in pedal travel and a corresponding increase in stopping distance.,Recall all affected vehicle and check for presence of retaining clip/locking pin. If found to be missing  a new clip/pin will be installed.,5376,,CIVIC,SHHFN3**0AU000582,SHHFN3**0AU000670,02/02/2010,06/04/2010,Honda Motor Company,2010-06-22,Honda Motor Company,0.0017612381496234803
2010-06-22,R/2010/053,honda,Jazz  and   Civic ,BRAKE PEDAL TRAVEL,The footbrake pedal is connected to the master cylinder via the brake pedal pin.  It is possible that the retaining clip/locking pin that locks the footbrake pedal pin may not have been installed. If this is the case  it is possible that the brake pedal pin may become detached. This will result in an increase in pedal travel and a corresponding increase in stopping distance.,Recall all affected vehicle and check for presence of retaining clip/locking pin. If found to be missing  a new clip/pin will be installed.,5376,,JAZZ,SHHGG6**0AU004959,SHHGG6**0AU011282,02/02/2010,06/04/2010,Honda Motor Company,2010-06-22,Honda Motor Company,0.0017612381496234803
2010-06-22,R/2010/053,honda,Jazz  and   Civic ,BRAKE PEDAL TRAVEL,The footbrake pedal is connected to the master cylinder via the brake pedal pin.  It is possible that the retaining clip/locking pin that locks the footbrake pedal pin may not have been installed. If this is the case  it is possible that the brake pedal pin may become detached. This will result in an increase in pedal travel and a corresponding increase in stopping distance.,Recall all affected vehicle and check for presence of retaining clip/locking pin. If found to be missing  a new clip/pin will be installed.,5376,,CIVIC,SHHFK3**0AU004781,SHHFK3**0AU005740,02/02/2010,06/04/2010,Honda Motor Company,2010-06-22,Honda Motor Company,0.0017612381496234803
2010-06-22,R/2010/053,honda,Jazz  and   Civic ,BRAKE PEDAL TRAVEL,The footbrake pedal is connected to the master cylinder via the brake pedal pin.  It is possible that the retaining clip/locking pin that locks the footbrake pedal pin may not have been installed. If this is the case  it is possible that the brake pedal pin may become detached. This will result in an increase in pedal travel and a corresponding increase in stopping distance.,Recall all affected vehicle and check for presence of retaining clip/locking pin. If found to be missing  a new clip/pin will be installed.,5376,,CIVIC,SHHFK1**0AU012881,SHHFK1**0AU015411,02/02/2010,06/04/2010,Honda Motor Company,2010-06-22,Honda Motor Company,0.0017612381496234803
2010-06-22,R/2010/053,honda,Jazz  and   Civic ,BRAKE PEDAL TRAVEL,The footbrake pedal is connected to the master cylinder via the brake pedal pin.  It is possible that the retaining clip/locking pin that locks the footbrake pedal pin may not have been installed. If this is the case  it is possible that the brake pedal pin may become detached. This will result in an increase in pedal travel and a corresponding increase in stopping distance.,Recall all affected vehicle and check for presence of retaining clip/locking pin. If found to be missing  a new clip/pin will be installed.,5376,,CIVIC,SHHFN2**0AU000491,SHHFN2**0AU001551,02/02/2010,06/04/2010,Honda Motor Company,2010-06-22,Honda Motor Company,0.0017612381496234803
2010-06-29,R/2010/059,renault,Trafic II,SUSPENSION TURRET MAY FAIL,The suspension turret panel may fail due to inadequate welding being applied at the factory.,Recall the vehicles that are likely to be affected to apply further weld to the nearside inner wing suspension turret.,22,OB7X,TRAFIC,,,26/07/2006,29/07/2006,Renault SA,2010-06-29,Renault SA,0.00955143232274911
2010-07-07,R/2010/086,citroen,C3,LOSS OF BRAKING EFFICIENCY,It has been established that on some C3's the rigid section of the front brake hose may be deformed or twisted. This could result in a deterioration of the braking efficiency.,Recall the affected vehicles and inspect the brake hose for distortion and replace if required.,7760,MFF,C3,VF7******8T500295,VF7******AT506283,11/09/2008,15/01/2010,Peugeot S.A.,2010-07-07,Peugeot S.A.,0.012198963101571546
2010-07-07,R/2010/076,citroen,C3 & DS3,FRONT AXLE MAY DETACH,The front axle fixings may not have been tightened sufficiently. This may result in the front axle becoming insecure which may in rare cases  if not corrected  cause directional control to become impaired.,Recall the vehicles that are likely to be affected to check the front axle fixings and where necessary tighten them to specification.,36,MFV,C3,VF7******AW500469,VF7******AW541457,05/01/2010,02/06/2010,Peugeot S.A.,2010-07-07,Peugeot S.A.,0.012198963101571546
2010-07-07,R/2010/076,citroen,C3 & DS3,FRONT AXLE MAY DETACH,The front axle fixings may not have been tightened sufficiently. This may result in the front axle becoming insecure which may in rare cases  if not corrected  cause directional control to become impaired.,Recall the vehicles that are likely to be affected to check the front axle fixings and where necessary tighten them to specification.,36,MFV,DS3,VF7******AW500469,VF7******AW541457,05/01/2010,02/06/2010,Peugeot S.A.,2010-07-07,Peugeot S.A.,0.012198963101571546
2010-07-09,R/2010/129,kia,Soul Burner  Sorento KX3,RISK OF FIRE,"The wiring to the ""mood lighting"" in the doors may overheat in use and  if ignored  there is a potential risk of fire.","Recalled vehicles to have the wiring to the ""mood lights"" replaced.",549,,SORENTO,,,01/09/2009,30/07/2010,Hyundai Motor Company,2010-07-09,Hyundai Motor Company,0.01796388090385878
2010-07-12,R/2010/190,mercedes benz,Unimog,STEERING MAY FAIL,It has been identified the steering knuckle arm fitted to vehicles with front mounting plates or front mounted implement can suffer fatigue fractures as a result of higher front axle loads. This can result in failure of the arm and the loss of directional control.,Recall all affected vehicles for the replacement to the steering arm.,2,U023,UNIMOG,WDB4181021W187046,WDB4181022W190246,,,Daimler AG,2010-07-12,Daimler AG,0.0038270177658098316
2010-07-12,R/2010/195,mercedes benz,Unimog,BRAKING EFFICIENCY MAY BE AFFECTED,On vehicles equipped with four wheel steering  it is possible that if the vehicle is used where extreme axle articulation is experience  the service brake lines between the ABS solenoid valves and brake chambers can suffer tensile stress and subsequently fail.,Recall all affected vehicles and replace the affected brake lines.,7,U021,UNIMOG,,,01/01/2001,03/11/2010,Daimler AG,2010-07-12,Daimler AG,0.0038270177658098316
2010-07-13,R/2010/093,volvo car,XC90 (diesel),FUEL MAY LEAK,It has been identified that a number of fuel pressure pipes may have a defect  which could result in a fuel leakage. Although it can be identified by the smell of fuel  it is possible  although unlikely  that an external heat source could ignite the fuel  so resulting in a fire.,Recall affected for inspection of fuel pressure line and replacement if required.,466,R29116,XC90,551239,553207,,,Volvo Group,2010-07-13,Volvo Group,0.003182545911001436
2010-07-16,R/2010/099,volvo car,S60 XC60 V70 XC70 S80,ENGINE MAY SEIZE,On effected petrol and diesel engines a spring clamp on the radiator hose connecting it to the water inlet pipe may be insecure. If not rectified the engine may lose coolant  overheat  seize and suddenly slow the vehicle rapidly to a halt.,Recall the vehicles that are likely to be affected to have the radiator hose adequately secured.,326,R29123,XC70,094101,095193,,,Volvo Group,2010-07-16,Volvo Group,0.007770298969245384
2010-07-16,R/2010/099,volvo car,S60 XC60 V70 XC70 S80,ENGINE MAY SEIZE,On effected petrol and diesel engines a spring clamp on the radiator hose connecting it to the water inlet pipe may be insecure. If not rectified the engine may lose coolant  overheat  seize and suddenly slow the vehicle rapidly to a halt.,Recall the vehicles that are likely to be affected to have the radiator hose adequately secured.,326,R29123,S80,134102,135119,,,Volvo Group,2010-07-16,Volvo Group,0.007770298969245384
2010-07-16,R/2010/099,volvo car,S60 XC60 V70 XC70 S80,ENGINE MAY SEIZE,On effected petrol and diesel engines a spring clamp on the radiator hose connecting it to the water inlet pipe may be insecure. If not rectified the engine may lose coolant  overheat  seize and suddenly slow the vehicle rapidly to a halt.,Recall the vehicles that are likely to be affected to have the radiator hose adequately secured.,326,R29123,XC60,135123,137267,,,Volvo Group,2010-07-16,Volvo Group,0.007770298969245384
2010-07-16,R/2010/099,volvo car,S60 XC60 V70 XC70 S80,ENGINE MAY SEIZE,On effected petrol and diesel engines a spring clamp on the radiator hose connecting it to the water inlet pipe may be insecure. If not rectified the engine may lose coolant  overheat  seize and suddenly slow the vehicle rapidly to a halt.,Recall the vehicles that are likely to be affected to have the radiator hose adequately secured.,326,R29123,V70,167002,169466,,,Volvo Group,2010-07-16,Volvo Group,0.007770298969245384
2010-07-16,R/2010/099,volvo car,S60 XC60 V70 XC70 S80,ENGINE MAY SEIZE,On effected petrol and diesel engines a spring clamp on the radiator hose connecting it to the water inlet pipe may be insecure. If not rectified the engine may lose coolant  overheat  seize and suddenly slow the vehicle rapidly to a halt.,Recall the vehicles that are likely to be affected to have the radiator hose adequately secured.,326,R29123,S60,000195,000435,,,Volvo Group,2010-07-16,Volvo Group,0.007770298969245384
2010-07-21,R/2010/073,mercedes benz,Sprinter,SEAT BELT MAY NOT RESTRAIN PASSENGER,"The seat belt mounting bolts in the areas of the ""B"" pillar and seat base have been found not to specification. In the event of an accident  the restraint function of the seat belt may not be guaranteed.",Recall the vehicles that are likely to be affected to check and where necessary adjust the torque of the seat belt mounting bolts in question.,72,C218,SPRINTER,,,,,Daimler AG,2010-07-21,Daimler AG,0.015403875375149572
2010-07-22,R/2010/081,vauxhall,Vivaro,STEERING MAY FAIL,It has been identified that the welds to the left front suspension-strut turret many not be to specification. This could lead to detachment of the suspension-strut turret detachment and subsequent loss of control of the vehicle.,Recall all affected vehicles and apply additional weld seams to the turret.,15,10c022,VIVARO,6V660597,6V66081726/07/2006,26/07/2006,27/07/2006,Peugeot S.A.,2010-07-22,Peugeot S.A.,0.0009043217942621903
2010-07-26,R/2010/067,suzuki,Jimny  & Grand Vitara ,LOSS OF STEERING    ASSISTANCE.,Steering assistance may be lost because the power steering tensioner pulley material is not to specification. The pulley may fail and cause a loss of drive to the hydraulic pump.,Recall the vehicles that are likely to be affected  to inspect and where necessary replace the power steering tensioner pulley.,5425,,GRAND VITARA,JSAJTD94V00101295,JSAJTD94V00101296,,,Suzuki Motor Corporation,2010-07-26,Suzuki Motor Corporation,0.03316299666595177
